user_id,rank,movie_id,score,year,title
1,1,2,3.9876051348329025,1994,The Shawshank Redemption
1,2,18,3.909895211321068,2005,Batman Begins
1,3,8,3.8588248349278502,2000,Gladiator
1,4,1,3.8096466695351077,1999,The Matrix
1,5,15,3.785139238008353,2007,Ratatouille
1,6,9,3.6783990703331875,1997,Titanic
1,7,13,3.6313516499928906,2004,Eternal Sunshine of the Spotless Mind
1,8,10,3.5937538237668374,2002,The Lord of the Rings: The Two Towers
2,1,3,3.851529727055233,2001,Spirited Away
2,2,18,3.7378938914068627,2005,Batman Begins
2,3,1,3.637645349620902,1999,The Matrix
2,4,4,3.6078184204706885,2008,The Dark Knight
2,5,7,3.5860797647662706,2003,Finding Nemo
2,6,14,3.53711443192467,1991,The Silence of the Lambs
2,7,13,3.459350330078685,2004,Eternal Sunshine of the Spotless Mind
2,8,5,3.393641168370192,2010,Inception
2,9,6,3.2504372544706164,1995,Toy Story
3,1,3,3.7341893541794695,2001,Spirited Away
3,2,18,3.620553518531099,2005,Batman Begins
3,3,8,3.5694831421378814,2000,Gladiator
3,4,1,3.520304976745139,1999,The Matrix
3,5,15,3.4957975452183843,2007,Ratatouille
3,6,4,3.4904780475949253,2008,The Dark Knight
3,7,7,3.4687393918905074,2003,Finding Nemo
3,8,17,3.4240500648095127,1998,Saving Private Ryan
3,9,14,3.419774059048907,1991,The Silence of the Lambs
3,10,13,3.342009957202922,2004,Eternal Sunshine of the Spotless Mind
4,1,18,3.7690035359466343,2005,Batman Begins
4,2,1,3.6687549941606736,1999,The Matrix
4,3,15,3.644247562633919,2007,Ratatouille
4,4,4,3.63892806501046,2008,The Dark Knight
4,5,14,3.5682240764644417,1991,The Silence of the Lambs
4,6,11,3.5575894427630703,1993,Jurassic Park
4,7,16,3.5544666461059116,2009,Up
4,8,13,3.4904599746184566,2004,Eternal Sunshine of the Spotless Mind
4,9,12,3.480487130940184,2006,The Departed
4,10,6,3.281546899010388,1995,Toy Story
5,1,3,3.373531046969439,2001,Spirited Away
5,2,18,3.2598952113210684,2005,Batman Begins
5,3,8,3.2088248349278503,2000,Gladiator
5,4,1,3.1596466695351078,1999,The Matrix
5,5,7,3.1080810846804763,2003,Finding Nemo
5,6,14,3.059115751838876,1991,The Silence of the Lambs
5,7,5,2.915642488284398,2010,Inception
5,8,6,2.772438574384822,1995,Toy Story
