user_id,movie_id,rating,date,year,title
5,13,2.0,2003-01-21,2004,Eternal Sunshine of the Spotless Mind
5,2,4.0,2003-02-12,1994,The Shawshank Redemption
5,15,3.0,2003-02-20,2007,Ratatouille
5,16,3.0,2003-03-22,2009,Up
5,10,3.0,2003-04-06,2002,The Lord of the Rings: The Two Towers
5,4,3.0,2003-07-02,2008,The Dark Knight
5,9,3.0,2003-08-04,1997,Titanic
5,17,3.0,2003-08-19,1998,Saving Private Ryan
5,12,1.0,2003-09-02,2006,The Departed
5,11,2.0,2004-03-04,1993,Jurassic Park
10,10,4.0,2003-01-29,2002,The Lord of the Rings: The Two Towers
10,3,4.0,2003-03-01,2001,Spirited Away
10,18,3.0,2003-03-18,2005,Batman Begins
10,13,3.0,2003-05-17,2004,Eternal Sunshine of the Spotless Mind
10,11,4.0,2003-06-25,1993,Jurassic Park
10,9,2.0,2003-11-07,1997,Titanic
18,16,3.0,2003-02-03,2009,Up
18,14,3.0,2003-03-29,1991,The Silence of the Lambs
18,13,3.0,2003-04-08,2004,Eternal Sunshine of the Spotless Mind
18,3,4.0,2003-04-10,2001,Spirited Away
18,15,4.0,2003-06-08,2007,Ratatouille
18,17,2.0,2003-10-25,1998,Saving Private Ryan
21,18,5.0,2003-02-06,2005,Batman Begins
21,6,3.0,2003-04-03,1995,Toy Story
21,1,5.0,2003-04-08,1999,The Matrix
21,11,4.0,2003-06-15,1993,Jurassic Park
21,4,5.0,2003-06-30,2008,The Dark Knight
21,8,3.0,2003-07-17,2000,Gladiator
21,17,4.0,2003-11-09,1998,Saving Private Ryan
37,11,3.0,2003-03-11,1993,Jurassic Park
37,18,4.0,2003-04-18,2005,Batman Begins
37,16,5.0,2003-06-09,2009,Up
37,7,4.0,2003-06-19,2003,Finding Nemo
37,4,3.0,2003-07-01,2008,The Dark Knight
37,1,3.0,2003-07-17,1999,The Matrix
37,9,3.0,2003-09-13,1997,Titanic
6,18,4.0,2003-03-11,2005,Batman Begins
6,5,3.0,2003-04-14,2010,Inception
6,1,3.0,2003-04-23,1999,The Matrix
6,13,4.0,2003-05-31,2004,Eternal Sunshine of the Spotless Mind
6,2,4.0,2003-07-09,1994,The Shawshank Redemption
6,9,4.0,2003-09-02,1997,Titanic
6,17,3.0,2003-11-18,1998,Saving Private Ryan
6,3,4.0,2004-01-25,2001,Spirited Away
6,4,3.0,2004-02-03,2008,The Dark Knight
6,6,3.0,2004-06-13,1995,Toy Story
